,registered,casual,season,holiday,workingday,weather,atemp,hour,year,sunindicator
67,20,0,1,0,1,1,7.575,22,2011,0
68,11,1,1,0,1,1,10.605,23,2011,0
69,5,0,1,0,1,1,9.09,0,2011,0
70,2,0,1,0,1,1,9.09,1,2011,0
71,1,0,1,0,1,1,7.575,2,2011,0
72,2,0,1,0,1,1,9.09,4,2011,0
73,4,0,1,0,1,1,7.575,5,2011,0
74,36,0,1,0,1,1,7.575,6,2011,0
75,92,2,1,0,1,1,7.575,7,2011,1
76,177,2,1,0,1,1,7.575,8,2011,1
77,98,2,1,0,1,1,7.575,9,2011,1
78,37,5,1,0,1,2,6.82,10,2011,1
79,50,7,1,0,1,1,10.605,11,2011,1
80,66,12,1,0,1,1,11.365,12,2011,1
81,79,18,1,0,1,1,11.365,13,2011,1
82,54,9,1,0,1,1,12.88,14,2011,1
83,48,17,1,0,1,1,13.635,15,2011,1
84,68,15,1,0,1,1,14.395,16,2011,1
85,202,10,1,0,1,1,13.635,17,2011,1
86,179,3,1,0,1,1,12.88,18,2011,0
87,110,2,1,0,1,1,12.88,19,2011,0
88,53,1,1,0,1,1,12.88,20,2011,0
89,48,0,1,0,1,1,13.635,21,2011,0
90,34,1,1,0,1,1,12.88,22,2011,0
91,9,2,1,0,1,1,11.365,23,2011,0
92,6,0,1,0,1,1,12.88,0,2011,0
93,6,0,1,0,1,1,9.85,1,2011,0
94,2,0,1,0,1,1,9.85,2,2011,0
95,2,0,1,0,1,1,11.365,4,2011,0
96,3,0,1,0,1,1,11.365,5,2011,0
97,33,0,1,0,1,1,9.85,6,2011,0
98,87,1,1,0,1,1,9.09,7,2011,1
99,192,3,1,0,1,1,9.09,8,2011,1
100,109,6,1,0,1,1,9.85,9,2011,1
101,53,4,1,0,1,1,9.85,10,2011,1
102,34,12,1,0,1,1,11.365,11,2011,1
103,74,5,1,0,1,1,11.365,12,2011,1
104,65,6,1,0,1,1,12.88,13,2011,1
105,52,10,1,0,1,1,14.395,14,2011,1
106,55,7,1,0,1,1,14.395,15,2011,1
107,85,4,1,0,1,1,15.91,16,2011,1
108,186,4,1,0,1,1,11.365,17,2011,1
109,166,3,1,0,1,1,12.12,18,2011,0
110,127,5,1,0,1,1,12.88,19,2011,0
111,82,7,1,0,1,1,11.365,20,2011,0
112,40,3,1,0,1,1,9.85,21,2011,0
113,41,1,1,0,1,1,9.85,22,2011,0
114,18,1,1,0,1,1,12.88,23,2011,0
115,11,0,1,0,1,1,12.12,0,2011,0
116,4,0,1,0,1,1,11.365,1,2011,0
117,2,0,1,0,1,1,11.365,2,2011,0
118,1,0,1,0,1,2,9.85,4,2011,0
119,4,0,1,0,1,2,9.09,5,2011,0
120,36,0,1,0,1,2,8.335,6,2011,0
121,95,0,1,0,1,2,11.365,7,2011,1
122,216,3,1,0,1,1,11.365,8,2011,1
123,116,6,1,0,1,2,12.12,9,2011,1
124,42,3,1,0,1,1,12.88,10,2011,1
125,57,2,1,0,1,1,12.88,11,2011,1
126,78,6,1,0,1,1,14.395,12,2011,1
127,55,12,1,0,1,1,13.635,13,2011,1
128,59,11,1,0,1,1,13.635,14,2011,1
129,54,8,1,0,1,1,13.635,15,2011,1
130,74,12,1,0,1,1,12.88,16,2011,1
131,163,9,1,0,1,1,11.365,17,2011,1
132,158,5,1,0,1,1,11.365,18,2011,0
133,109,3,1,0,1,1,12.88,19,2011,0
134,66,3,1,0,1,1,10.605,20,2011,0
135,48,0,1,0,1,2,10.605,21,2011,0
136,51,1,1,0,1,2,10.605,22,2011,0
137,19,4,1,0,1,2,9.85,23,2011,0
138,13,4,1,0,1,2,9.85,0,2011,0
139,5,2,1,0,1,2,9.85,1,2011,0
140,1,0,1,0,1,2,9.85,2,2011,0
141,1,0,1,0,1,2,10.605,4,2011,0
142,5,0,1,0,1,3,13.635,5,2011,0
143,26,8,1,0,1,2,12.88,6,2011,0
144,76,8,1,0,1,1,10.605,7,2011,1
145,190,20,1,0,1,1,9.85,8,2011,1
146,125,9,1,0,1,1,9.09,9,2011,1
147,47,16,1,0,1,1,9.85,10,2011,1
148,48,19,1,0,1,2,9.85,11,2011,1
149,50,9,1,0,1,2,9.85,12,2011,1
150,64,9,1,0,1,2,9.09,13,2011,1
151,43,7,1,0,1,2,9.85,14,2011,1
152,63,9,1,0,1,2,10.605,15,2011,1
153,82,5,1,0,1,2,10.605,16,2011,1
154,178,9,1,0,1,2,12.88,17,2011,1
155,116,7,1,0,1,1,11.365,18,2011,0
156,92,3,1,0,1,1,9.85,19,2011,0
157,50,1,1,0,1,1,10.605,20,2011,0
158,39,0,1,0,1,1,9.85,21,2011,0
159,34,2,1,0,1,2,9.85,22,2011,0
160,14,1,1,0,1,2,9.85,23,2011,0
161,24,1,1,0,0,2,9.85,0,2011,0
162,15,1,1,0,0,2,10.605,1,2011,0
163,13,3,1,0,0,2,12.12,2,2011,0
164,7,0,1,0,0,3,9.85,3,2011,0
165,1,0,1,0,0,3,9.85,4,2011,0
166,5,0,1,0,0,2,8.335,5,2011,0
167,2,0,1,0,0,2,8.335,6,2011,0
168,8,1,1,0,0,2,9.09,7,2011,1
169,15,0,1,0,0,3,9.09,8,2011,1
170,20,0,1,0,0,3,9.09,9,2011,1
171,56,5,1,0,0,2,9.85,10,2011,1
172,60,2,1,0,0,2,9.09,11,2011,1
173,90,8,1,0,0,2,9.09,12,2011,1
174,95,7,1,0,0,1,9.09,13,2011,1
175,83,12,1,0,0,1,8.335,14,2011,1
176,69,5,1,0,0,1,8.335,15,2011,1
177,68,8,1,0,0,1,6.82,16,2011,1
178,64,5,1,0,0,1,6.06,17,2011,1
179,52,3,1,0,0,1,6.06,18,2011,0
180,26,4,1,0,0,1,6.06,19,2011,0
181,28,0,1,0,0,1,6.06,20,2011,0
182,35,2,1,0,0,1,5.305,21,2011,0
183,33,1,1,0,0,1,5.305,22,2011,0
184,22,0,1,0,0,1,3.03,23,2011,0
185,24,1,1,0,0,1,3.79,0,2011,0
186,12,0,1,0,0,1,3.03,1,2011,0
187,11,0,1,0,0,1,3.03,2,2011,0
188,4,0,1,0,0,1,3.79,3,2011,0
189,1,0,1,0,0,1,4.545,4,2011,0
190,1,0,1,0,0,1,4.545,5,2011,0
191,1,0,1,0,0,1,4.545,6,2011,0
192,5,1,1,0,0,1,4.545,7,2011,1
193,10,0,1,0,0,1,4.545,8,2011,1
194,19,0,1,0,0,1,3.79,9,2011,1
195,49,0,1,0,0,1,5.305,10,2011,1
196,47,2,1,0,0,1,6.06,11,2011,1
197,79,4,1,0,0,1,6.82,12,2011,1
198,69,6,1,0,0,1,8.335,13,2011,1
199,64,8,1,0,0,1,9.09,14,2011,1
200,77,5,1,0,0,1,9.85,15,2011,1
201,79,13,1,0,0,1,8.335,16,2011,1
202,59,3,1,0,0,1,7.575,17,2011,1
203,44,4,1,0,0,1,6.82,18,2011,0
204,40,1,1,0,0,1,6.82,19,2011,0
205,38,0,1,0,0,1,6.06,20,2011,0
206,19,1,1,0,0,1,5.305,21,2011,0
207,10,5,1,0,0,1,6.06,22,2011,0
208,6,0,1,0,0,1,6.82,23,2011,0
209,3,2,1,0,1,1,6.06,0,2011,0
210,0,1,1,0,1,1,6.06,1,2011,0
211,3,0,1,0,1,1,6.06,2,2011,0
212,1,0,1,0,1,1,6.06,3,2011,0
213,2,1,1,0,1,1,6.06,4,2011,0
214,3,0,1,0,1,1,5.305,5,2011,0
215,31,0,1,0,1,1,6.06,6,2011,0
216,75,2,1,0,1,1,6.06,7,2011,1
217,184,4,1,0,1,2,6.06,8,2011,1
218,92,2,1,0,1,2,6.06,9,2011,1
219,31,0,1,0,1,2,6.06,10,2011,1
220,28,2,1,0,1,2,6.82,11,2011,1
221,47,5,1,0,1,2,9.09,12,2011,1
222,50,4,1,0,1,2,9.09,13,2011,1
223,47,0,1,0,1,2,9.85,14,2011,1
224,43,2,1,0,1,2,9.85,15,2011,1
225,70,4,1,0,1,1,10.605,16,2011,1
226,174,4,1,0,1,1,11.365,17,2011,1
227,154,1,1,0,1,1,9.85,18,2011,0
228,92,3,1,0,1,1,8.335,19,2011,0
229,73,1,1,0,1,1,8.335,20,2011,0
230,37,1,1,0,1,1,6.82,21,2011,0
231,22,2,1,0,1,1,7.575,22,2011,0
232,18,0,1,0,1,1,7.575,23,2011,0
233,10,2,1,0,1,1,8.335,0,2011,0
234,3,0,1,0,1,1,7.575,1,2011,0
235,3,0,1,0,1,2,7.575,2,2011,0
236,6,0,1,0,1,2,9.09,5,2011,0
237,27,0,1,0,1,2,9.09,6,2011,0
238,97,2,1,0,1,2,11.365,7,2011,1
239,214,3,1,0,1,2,10.605,8,2011,1
240,127,3,1,0,1,2,9.85,9,2011,1
241,51,3,1,0,1,2,10.605,10,2011,1
242,31,4,1,0,1,2,10.605,11,2011,1
243,55,2,1,0,1,2,11.365,12,2011,1
244,46,6,1,0,1,2,11.365,13,2011,1
245,60,3,1,0,1,2,11.365,14,2011,1
246,45,2,1,0,1,2,9.85,15,2011,1
247,72,4,1,0,1,2,7.575,16,2011,1
248,130,6,1,0,1,2,7.575,17,2011,1
249,94,1,1,0,1,3,9.09,18,2011,0
250,51,0,1,0,1,3,11.365,19,2011,0
251,32,0,1,0,1,3,7.575,20,2011,0
252,20,0,1,0,1,3,9.85,21,2011,0
253,28,1,1,0,1,3,9.09,22,2011,0
254,18,1,1,0,1,3,9.85,23,2011,0
255,7,0,1,0,1,2,9.85,0,2011,0
256,6,0,1,0,1,2,9.09,1,2011,0
257,1,0,1,0,1,1,7.575,2,2011,0
258,5,0,1,0,1,1,7.575,5,2011,0
259,16,0,1,0,1,1,7.575,6,2011,0
260,54,0,1,0,1,1,7.575,7,2011,1
261,125,3,1,0,1,1,8.335,8,2011,1
262,78,3,1,0,1,1,6.82,9,2011,1
263,39,0,1,0,1,1,9.09,10,2011,1
264,32,3,1,0,1,1,9.09,11,2011,1
265,52,3,1,0,1,1,7.575,12,2011,1
266,49,0,1,0,1,1,9.85,13,2011,1
267,44,0,1,0,1,1,9.09,14,2011,1
268,48,1,1,0,1,1,8.335,15,2011,1
269,63,5,1,0,1,1,9.85,16,2011,1
270,139,0,1,0,1,1,9.09,17,2011,1
271,135,2,1,0,1,1,7.575,18,2011,0
272,82,1,1,0,1,1,7.575,19,2011,0
273,54,2,1,0,1,1,6.82,20,2011,0
274,57,0,1,0,1,1,6.82,21,2011,0
275,32,1,1,0,1,1,6.06,22,2011,0
276,19,1,1,0,1,1,5.305,23,2011,0
277,6,1,1,0,1,1,6.06,0,2011,0
278,2,0,1,0,1,1,6.06,1,2011,0
279,2,0,1,0,1,1,6.06,2,2011,0
280,3,0,1,0,1,1,6.06,3,2011,0
281,4,0,1,0,1,1,6.06,4,2011,0
282,3,0,1,0,1,1,6.06,5,2011,0
283,28,0,1,0,1,1,7.575,6,2011,0
284,72,0,1,0,1,1,7.575,7,2011,1
285,197,5,1,0,1,1,6.82,8,2011,1
286,137,2,1,0,1,1,6.06,9,2011,1
287,36,2,1,0,1,2,6.82,10,2011,1
288,33,4,1,0,1,2,8.335,11,2011,1
289,49,3,1,0,1,1,8.335,12,2011,1
290,81,2,1,0,1,1,9.85,13,2011,1
291,39,3,1,0,1,1,9.85,14,2011,1
292,55,5,1,0,1,1,10.605,15,2011,1
293,76,2,1,0,1,1,10.605,16,2011,1
294,158,4,1,0,1,1,9.09,17,2011,1
295,141,3,1,0,1,1,9.09,18,2011,0
296,98,1,1,0,1,1,7.575,19,2011,0
297,64,0,1,0,1,1,7.575,20,2011,0
298,40,0,1,0,1,1,6.06,21,2011,0
299,30,0,1,0,1,1,6.06,22,2011,0
300,14,1,1,0,1,1,6.82,23,2011,0
301,14,0,1,0,1,1,6.82,0,2011,0
302,5,0,1,0,1,1,6.06,1,2011,0
303,1,0,1,0,1,1,6.06,2,2011,0
304,1,0,1,0,1,1,6.82,3,2011,0
305,8,0,1,0,1,1,6.82,5,2011,0
306,17,0,1,0,1,1,9.09,6,2011,0
307,70,0,1,0,1,1,6.06,7,2011,1
308,156,2,1,0,1,1,8.335,8,2011,1
309,117,0,1,0,1,1,7.575,9,2011,1
310,40,4,1,0,1,1,9.09,10,2011,1
311,47,6,1,0,1,1,8.335,11,2011,1
312,59,2,1,0,1,1,9.85,12,2011,1
313,73,4,1,0,1,1,9.85,13,2011,1
314,59,5,1,0,1,1,10.605,14,2011,1
315,59,9,1,0,1,1,12.12,15,2011,1
316,87,3,1,0,1,1,12.12,16,2011,1
317,155,4,1,0,1,1,11.365,17,2011,1
318,134,5,1,0,1,1,12.88,18,2011,0
319,89,3,1,0,1,1,9.85,19,2011,0
320,68,0,1,0,1,1,12.12,20,2011,0
321,48,4,1,0,1,1,11.365,21,2011,0
322,34,2,1,0,1,2,11.365,22,2011,0
323,26,1,1,0,1,2,12.12,23,2011,0
324,25,3,1,0,0,1,12.12,0,2011,0
325,18,2,1,0,0,2,9.85,1,2011,0
326,12,0,1,0,0,2,9.85,2,2011,0
327,7,1,1,0,0,2,11.365,3,2011,0
328,5,0,1,0,0,2,11.365,4,2011,0
329,1,0,1,0,0,1,11.365,5,2011,0
330,2,1,1,0,0,1,8.335,6,2011,0
331,9,1,1,0,0,1,10.605,7,2011,1
332,22,1,1,0,0,1,7.575,8,2011,1
333,31,2,1,0,0,1,9.09,9,2011,1
334,57,2,1,0,0,1,9.85,10,2011,1
335,54,18,1,0,0,1,9.85,11,2011,1
336,74,15,1,0,0,1,11.365,12,2011,1
337,80,21,1,0,0,1,12.88,13,2011,1
338,92,26,1,0,0,1,14.395,14,2011,1
339,108,21,1,0,0,2,15.91,15,2011,1
340,95,33,1,0,0,2,16.665,16,2011,1
341,54,29,1,0,0,2,15.15,17,2011,1
342,69,15,1,0,0,2,14.395,18,2011,0
343,60,14,1,0,0,2,15.15,19,2011,0
344,35,6,1,0,0,2,15.15,20,2011,0
345,51,6,1,0,0,2,15.15,21,2011,0
346,26,0,1,0,0,2,15.91,22,2011,0
347,39,5,1,0,0,1,14.395,23,2011,0
348,33,6,1,0,0,1,15.15,0,2011,0
349,19,4,1,0,0,1,13.635,1,2011,0
350,13,3,1,0,0,1,14.395,2,2011,0
351,6,9,1,0,0,1,13.635,3,2011,0
352,1,0,1,0,0,1,12.88,4,2011,0
353,1,1,1,0,0,2,12.88,5,2011,0
354,1,0,1,0,0,2,12.88,6,2011,0
355,3,0,1,0,0,2,10.605,7,2011,1
356,18,0,1,0,0,1,10.605,8,2011,1
357,29,3,1,0,0,1,10.605,9,2011,1
358,71,8,1,0,0,1,10.605,10,2011,1
359,70,23,1,0,0,1,11.365,11,2011,1
360,75,29,1,0,0,1,10.605,12,2011,1
361,95,23,1,0,0,1,11.365,13,2011,1
362,69,22,1,0,0,1,13.635,14,2011,1
363,78,35,1,0,0,1,12.12,15,2011,1
364,77,22,1,0,0,1,11.365,16,2011,1
365,82,23,1,0,0,1,10.605,17,2011,1
366,56,11,1,0,0,1,10.605,18,2011,0
367,47,14,1,0,0,1,9.85,19,2011,0
368,50,7,1,0,0,1,9.85,20,2011,0
369,22,6,1,0,0,1,9.85,21,2011,0
370,19,2,1,0,0,2,10.605,22,2011,0
371,18,0,1,0,0,2,11.365,23,2011,0
372,16,1,1,1,0,2,9.85,0,2011,0
373,15,1,1,1,0,2,9.85,1,2011,0
374,8,0,1,1,0,2,8.335,2,2011,0
375,2,0,1,1,0,2,9.09,3,2011,0
376,2,1,1,1,0,2,9.85,4,2011,0
377,1,0,1,1,0,2,9.85,5,2011,0
378,5,0,1,1,0,2,9.09,6,2011,0
379,9,4,1,1,0,2,9.09,7,2011,1
380,30,3,1,1,0,2,7.575,8,2011,1
381,39,8,1,1,0,2,7.575,9,2011,1
382,50,7,1,1,0,2,7.575,10,2011,1
383,55,9,1,1,0,2,7.575,11,2011,1
384,70,10,1,1,0,2,9.85,12,2011,1
385,80,13,1,1,0,2,9.85,13,2011,1
386,74,12,1,1,0,2,10.605,14,2011,1
387,72,21,1,1,0,2,10.605,15,2011,1
388,76,6,1,1,0,2,10.605,16,2011,1
389,67,4,1,1,0,1,9.85,17,2011,1
390,85,7,1,1,0,2,8.335,18,2011,0
391,58,2,1,1,0,3,9.09,19,2011,0
392,29,4,1,1,0,3,7.575,20,2011,0
393,24,3,1,1,0,3,7.575,21,2011,0
394,13,0,1,1,0,3,6.06,22,2011,0
395,3,1,1,1,0,3,6.82,23,2011,0
396,3,0,1,0,1,2,9.09,12,2011,1
397,22,0,1,0,1,2,9.85,13,2011,1
398,26,2,1,0,1,2,11.365,14,2011,1
399,32,3,1,0,1,2,11.365,15,2011,1
400,61,0,1,0,1,2,11.365,16,2011,1
401,124,1,1,0,1,2,11.365,17,2011,1
402,132,1,1,0,1,2,11.365,18,2011,0
403,98,1,1,0,1,2,11.365,19,2011,0
404,83,0,1,0,1,2,13.635,20,2011,0
405,41,0,1,0,1,2,12.12,21,2011,0
406,33,0,1,0,1,2,12.88,22,2011,0
407,19,1,1,0,1,2,13.635,23,2011,0
408,3,0,1,0,1,2,13.635,0,2011,0
409,6,1,1,0,1,3,11.365,1,2011,0
410,3,0,1,0,1,3,11.365,2,2011,0
411,1,1,1,0,1,3,11.365,4,2011,0
412,7,0,1,0,1,2,12.88,5,2011,0
413,32,0,1,0,1,2,12.88,6,2011,0
414,89,1,1,0,1,2,12.88,7,2011,1
415,196,1,1,0,1,2,12.88,8,2011,1
416,107,2,1,0,1,2,12.88,9,2011,1
417,46,1,1,0,1,2,13.635,10,2011,1
418,47,5,1,0,1,2,15.15,11,2011,1
419,65,5,1,0,1,2,15.91,12,2011,1
420,67,11,1,0,1,1,20.455,13,2011,1
421,68,7,1,0,1,1,20.455,14,2011,1
422,78,4,1,0,1,1,20.455,15,2011,1
423,94,10,1,0,1,1,19.695,16,2011,1
424,190,7,1,0,1,1,16.665,17,2011,1
425,156,5,1,0,1,1,15.91,18,2011,0
426,108,4,1,0,1,1,14.395,19,2011,0
427,74,2,1,0,1,1,15.15,20,2011,0
428,55,4,1,0,1,1,14.395,21,2011,0
429,53,6,1,0,1,1,15.15,22,2011,0
430,27,1,1,0,1,1,13.635,23,2011,0
431,6,2,1,0,1,2,9.09,0,2011,0
432,3,0,1,0,1,2,9.09,1,2011,0
433,2,0,1,0,1,2,11.365,2,2011,0
434,2,0,1,0,1,2,11.365,3,2011,0
435,3,0,1,0,1,3,10.605,5,2011,0
436,22,0,1,0,1,3,10.605,6,2011,0
437,52,0,1,0,1,3,11.365,7,2011,1
438,132,3,1,0,1,3,11.365,8,2011,1
439,114,2,1,0,1,2,11.365,9,2011,1
440,47,0,1,0,1,2,11.365,10,2011,1
441,49,2,1,0,1,2,12.12,11,2011,1
442,53,2,1,0,1,2,12.88,12,2011,1
443,49,3,1,0,1,2,12.88,13,2011,1
444,49,5,1,0,1,2,12.88,14,2011,1
445,45,7,1,0,1,2,14.395,15,2011,1
446,61,3,1,0,1,2,12.12,16,2011,1
447,172,4,1,0,1,2,14.395,17,2011,1
448,165,3,1,0,1,2,12.88,18,2011,0
449,105,3,1,0,1,2,12.12,19,2011,0
450,69,5,1,0,1,2,11.365,20,2011,0
451,64,0,1,0,1,2,11.365,21,2011,0
452,34,2,1,0,1,2,12.88,22,2011,0
453,15,1,1,0,1,3,9.85,23,2011,0
454,2,0,1,0,1,3,12.12,0,2011,0
455,3,0,1,0,1,3,11.365,1,2011,0
456,0,4,1,0,1,3,11.365,2,2011,0
457,1,0,1,0,1,3,11.365,3,2011,0
458,1,0,1,0,1,3,10.605,4,2011,0
459,3,0,1,0,1,3,12.12,5,2011,0
460,17,1,1,0,1,3,12.12,6,2011,0
461,48,1,1,0,1,3,10.605,7,2011,1
462,154,1,1,0,1,3,10.605,8,2011,1
463,119,4,1,0,1,2,12.88,9,2011,1
464,59,2,1,0,1,2,13.635,10,2011,1
465,47,5,1,0,1,2,11.365,11,2011,1
466,61,3,1,0,1,2,11.365,12,2011,1
467,74,1,1,0,1,1,16.665,13,2011,1
468,61,2,1,0,1,1,19.695,14,2011,1
469,66,10,1,0,1,1,19.695,15,2011,1
470,95,8,1,0,1,1,16.665,16,2011,1
471,183,7,1,0,1,1,15.91,17,2011,1
472,175,7,1,0,1,1,14.395,18,2011,0
473,88,3,1,0,1,1,12.12,19,2011,0
474,71,4,1,0,1,1,9.85,20,2011,0
475,62,1,1,0,1,1,9.85,21,2011,0
476,35,5,1,0,1,1,10.605,22,2011,0
477,29,3,1,0,1,1,8.335,23,2011,0
478,11,1,1,0,1,1,8.335,0,2011,0
479,5,0,1,0,1,1,7.575,1,2011,0
480,2,0,1,0,1,1,8.335,2,2011,0
481,1,0,1,0,1,1,8.335,3,2011,0
482,2,0,1,0,1,1,6.82,5,2011,0
483,39,0,1,0,1,1,6.82,6,2011,0
484,86,1,1,0,1,1,6.06,7,2011,1
485,184,4,1,0,1,1,6.06,8,2011,1
486,127,6,1,0,1,1,6.82,9,2011,1
487,50,2,1,0,1,1,7.575,10,2011,1
488,55,9,1,0,1,1,6.82,11,2011,1
489,67,2,1,0,1,1,9.09,12,2011,1
490,47,4,1,0,1,1,8.335,13,2011,1
491,43,4,1,0,1,1,9.85,14,2011,1
492,56,4,1,0,1,1,9.85,15,2011,1
493,73,5,1,0,1,1,10.605,16,2011,1
494,170,5,1,0,1,1,9.85,17,2011,1
495,145,2,1,0,1,1,10.605,18,2011,1
496,92,4,1,0,1,1,12.88,19,2011,0
497,108,1,1,0,1,1,11.365,20,2011,0
498,53,1,1,0,1,1,10.605,21,2011,0
499,39,2,1,0,1,1,10.605,22,2011,0
500,34,4,1,0,1,1,11.365,23,2011,0
501,10,3,1,0,1,2,12.88,0,2011,0
502,7,0,1,0,1,2,11.365,1,2011,0
503,1,0,1,0,1,2,8.335,2,2011,0
504,1,0,1,0,1,2,8.335,3,2011,0
505,7,0,1,0,1,2,7.575,5,2011,0
506,26,2,1,0,1,2,11.365,6,2011,0
507,87,0,1,0,1,1,10.605,7,2011,1
508,217,3,1,0,1,1,7.575,8,2011,1
509,124,3,1,0,1,2,9.09,9,2011,1
510,46,5,1,0,1,2,10.605,10,2011,1
511,61,3,1,0,1,1,11.365,11,2011,1
512,78,8,1,0,1,2,12.12,12,2011,1
513,73,9,1,0,1,2,12.88,13,2011,1
514,76,15,1,0,1,2,13.635,14,2011,1
515,81,9,1,0,1,2,13.635,15,2011,1
516,91,8,1,0,1,2,14.395,16,2011,1
517,195,10,1,0,1,2,13.635,17,2011,1
518,152,3,1,0,1,2,12.88,18,2011,1
519,102,1,1,0,1,2,12.12,19,2011,0
520,69,2,1,0,1,2,12.12,20,2011,0
521,41,2,1,0,1,2,12.12,21,2011,0
522,45,1,1,0,1,2,12.12,22,2011,0
523,30,1,1,0,1,2,12.12,23,2011,0
524,36,3,1,0,0,2,12.12,0,2011,0
525,17,1,1,0,0,2,12.12,1,2011,0
526,12,5,1,0,0,2,12.12,2,2011,0
527,10,1,1,0,0,2,12.12,3,2011,0
528,8,0,1,0,0,3,11.365,4,2011,0
529,9,0,1,0,0,3,11.365,5,2011,0
530,4,0,1,0,0,3,12.88,6,2011,0
531,4,0,1,0,0,3,12.88,7,2011,1
532,10,0,1,0,0,3,11.365,8,2011,1
533,17,3,1,0,0,3,11.365,9,2011,1
534,31,3,1,0,0,3,10.605,10,2011,1
535,46,1,1,0,0,3,11.365,11,2011,1
536,42,10,1,0,0,3,11.365,12,2011,1
537,62,10,1,0,0,3,11.365,13,2011,1
538,50,5,1,0,0,3,13.635,14,2011,1
539,49,11,1,0,0,3,13.635,15,2011,1
540,63,8,1,0,0,3,11.365,16,2011,1
541,64,14,1,0,0,2,10.605,17,2011,1
542,81,2,1,0,0,2,12.12,18,2011,1
543,78,6,1,0,0,2,12.12,19,2011,0
544,64,5,1,0,0,1,14.395,20,2011,0
545,53,3,1,0,0,1,12.88,21,2011,0
546,43,2,1,0,0,1,13.635,22,2011,0
547,52,7,1,0,0,1,12.88,23,2011,0
548,37,2,1,0,0,1,12.88,0,2011,0
549,40,4,1,0,0,1,11.365,1,2011,0
550,20,0,1,0,0,1,11.365,2,2011,0
551,10,3,1,0,0,1,14.395,3,2011,0
552,2,0,1,0,0,1,11.365,4,2011,0
553,1,0,1,0,0,1,12.88,5,2011,0
554,1,0,1,0,0,1,12.88,6,2011,0
555,8,0,1,0,0,1,12.12,7,2011,1
556,21,2,1,0,0,1,12.88,8,2011,1
