,datetime,season,holiday,workingday,weather,atemp,casual,registered,hour,year,sunindicator
26,2011-01-02 02:00:00,1,0,0,2,21.21,1,8,2,2011,0
27,2011-01-02 03:00:00,1,0,0,2,22.725,2,4,3,2011,0
28,2011-01-02 04:00:00,1,0,0,2,22.725,2,1,4,2011,0
29,2011-01-02 06:00:00,1,0,0,3,21.21,0,2,6,2011,0
30,2011-01-02 07:00:00,1,0,0,2,20.455,0,1,7,2011,1
31,2011-01-02 08:00:00,1,0,0,3,20.455,0,8,8,2011,1
32,2011-01-02 09:00:00,1,0,0,2,19.695,1,19,9,2011,1
33,2011-01-02 10:00:00,1,0,0,2,17.425,7,46,10,2011,1
34,2011-01-02 11:00:00,1,0,0,2,16.665,16,54,11,2011,1
35,2011-01-02 12:00:00,1,0,0,2,16.665,20,73,12,2011,1
36,2011-01-02 13:00:00,1,0,0,2,17.425,11,64,13,2011,1
37,2011-01-02 14:00:00,1,0,0,3,17.425,4,55,14,2011,1
38,2011-01-02 15:00:00,1,0,0,3,16.665,19,55,15,2011,1
39,2011-01-02 16:00:00,1,0,0,3,16.665,9,67,16,2011,1
40,2011-01-02 17:00:00,1,0,0,1,16.665,7,58,17,2011,1
41,2011-01-02 18:00:00,1,0,0,2,16.665,10,43,18,2011,0
42,2011-01-02 19:00:00,1,0,0,1,14.395,1,29,19,2011,0
43,2011-01-02 20:00:00,1,0,0,1,13.635,5,17,20,2011,0
44,2011-01-02 21:00:00,1,0,0,1,11.365,11,20,21,2011,0
45,2011-01-02 22:00:00,1,0,0,1,10.605,0,9,22,2011,0
46,2011-01-02 23:00:00,1,0,0,1,11.365,0,8,23,2011,0
47,2011-01-03 00:00:00,1,0,1,1,9.85,0,5,0,2011,0
48,2011-01-03 01:00:00,1,0,1,1,8.335,0,2,1,2011,0
49,2011-01-03 04:00:00,1,0,1,1,6.82,0,1,4,2011,0
50,2011-01-03 05:00:00,1,0,1,1,6.82,0,3,5,2011,0
51,2011-01-03 06:00:00,1,0,1,1,5.305,0,30,6,2011,0
52,2011-01-03 07:00:00,1,0,1,1,6.82,1,63,7,2011,1
53,2011-01-03 08:00:00,1,0,1,1,6.06,1,153,8,2011,1
54,2011-01-03 09:00:00,1,0,1,1,6.82,7,81,9,2011,1
55,2011-01-03 10:00:00,1,0,1,1,8.335,11,33,10,2011,1
56,2011-01-03 11:00:00,1,0,1,1,9.09,10,41,11,2011,1
57,2011-01-03 12:00:00,1,0,1,1,10.605,13,48,12,2011,1
58,2011-01-03 13:00:00,1,0,1,1,10.605,8,53,13,2011,1
59,2011-01-03 14:00:00,1,0,1,1,12.12,11,66,14,2011,1
60,2011-01-03 15:00:00,1,0,1,1,12.12,14,58,15,2011,1
61,2011-01-03 16:00:00,1,0,1,1,12.12,9,67,16,2011,1
62,2011-01-03 17:00:00,1,0,1,1,11.365,11,146,17,2011,1
63,2011-01-03 18:00:00,1,0,1,1,12.88,9,148,18,2011,0
64,2011-01-03 19:00:00,1,0,1,1,12.88,8,102,19,2011,0
65,2011-01-03 20:00:00,1,0,1,1,11.365,3,49,20,2011,0
66,2011-01-03 21:00:00,1,0,1,1,9.85,3,49,21,2011,0
67,2011-01-03 22:00:00,1,0,1,1,7.575,0,20,22,2011,0
68,2011-01-03 23:00:00,1,0,1,1,10.605,1,11,23,2011,0
69,2011-01-04 00:00:00,1,0,1,1,9.09,0,5,0,2011,0
70,2011-01-04 01:00:00,1,0,1,1,9.09,0,2,1,2011,0
71,2011-01-04 02:00:00,1,0,1,1,7.575,0,1,2,2011,0
72,2011-01-04 04:00:00,1,0,1,1,9.09,0,2,4,2011,0
73,2011-01-04 05:00:00,1,0,1,1,7.575,0,4,5,2011,0
74,2011-01-04 06:00:00,1,0,1,1,7.575,0,36,6,2011,0
75,2011-01-04 07:00:00,1,0,1,1,7.575,2,92,7,2011,1
76,2011-01-04 08:00:00,1,0,1,1,7.575,2,177,8,2011,1
77,2011-01-04 09:00:00,1,0,1,1,7.575,2,98,9,2011,1
78,2011-01-04 10:00:00,1,0,1,2,6.82,5,37,10,2011,1
79,2011-01-04 11:00:00,1,0,1,1,10.605,7,50,11,2011,1
80,2011-01-04 12:00:00,1,0,1,1,11.365,12,66,12,2011,1
81,2011-01-04 13:00:00,1,0,1,1,11.365,18,79,13,2011,1
82,2011-01-04 14:00:00,1,0,1,1,12.88,9,54,14,2011,1
83,2011-01-04 15:00:00,1,0,1,1,13.635,17,48,15,2011,1
84,2011-01-04 16:00:00,1,0,1,1,14.395,15,68,16,2011,1
85,2011-01-04 17:00:00,1,0,1,1,13.635,10,202,17,2011,1
86,2011-01-04 18:00:00,1,0,1,1,12.88,3,179,18,2011,0
87,2011-01-04 19:00:00,1,0,1,1,12.88,2,110,19,2011,0
88,2011-01-04 20:00:00,1,0,1,1,12.88,1,53,20,2011,0
89,2011-01-04 21:00:00,1,0,1,1,13.635,0,48,21,2011,0
90,2011-01-04 22:00:00,1,0,1,1,12.88,1,34,22,2011,0
91,2011-01-04 23:00:00,1,0,1,1,11.365,2,9,23,2011,0
92,2011-01-05 00:00:00,1,0,1,1,12.88,0,6,0,2011,0
93,2011-01-05 01:00:00,1,0,1,1,9.85,0,6,1,2011,0
94,2011-01-05 02:00:00,1,0,1,1,9.85,0,2,2,2011,0
95,2011-01-05 04:00:00,1,0,1,1,11.365,0,2,4,2011,0
96,2011-01-05 05:00:00,1,0,1,1,11.365,0,3,5,2011,0
97,2011-01-05 06:00:00,1,0,1,1,9.85,0,33,6,2011,0
98,2011-01-05 07:00:00,1,0,1,1,9.09,1,87,7,2011,1
99,2011-01-05 08:00:00,1,0,1,1,9.09,3,192,8,2011,1
100,2011-01-05 09:00:00,1,0,1,1,9.85,6,109,9,2011,1
101,2011-01-05 10:00:00,1,0,1,1,9.85,4,53,10,2011,1
102,2011-01-05 11:00:00,1,0,1,1,11.365,12,34,11,2011,1
103,2011-01-05 12:00:00,1,0,1,1,11.365,5,74,12,2011,1
104,2011-01-05 13:00:00,1,0,1,1,12.88,6,65,13,2011,1
105,2011-01-05 14:00:00,1,0,1,1,14.395,10,52,14,2011,1
106,2011-01-05 15:00:00,1,0,1,1,14.395,7,55,15,2011,1
107,2011-01-05 16:00:00,1,0,1,1,15.91,4,85,16,2011,1
108,2011-01-05 17:00:00,1,0,1,1,11.365,4,186,17,2011,1
109,2011-01-05 18:00:00,1,0,1,1,12.12,3,166,18,2011,0
110,2011-01-05 19:00:00,1,0,1,1,12.88,5,127,19,2011,0
111,2011-01-05 20:00:00,1,0,1,1,11.365,7,82,20,2011,0
112,2011-01-05 21:00:00,1,0,1,1,9.85,3,40,21,2011,0
113,2011-01-05 22:00:00,1,0,1,1,9.85,1,41,22,2011,0
114,2011-01-05 23:00:00,1,0,1,1,12.88,1,18,23,2011,0
115,2011-01-06 00:00:00,1,0,1,1,12.12,0,11,0,2011,0
116,2011-01-06 01:00:00,1,0,1,1,11.365,0,4,1,2011,0
117,2011-01-06 02:00:00,1,0,1,1,11.365,0,2,2,2011,0
118,2011-01-06 04:00:00,1,0,1,2,9.85,0,1,4,2011,0
119,2011-01-06 05:00:00,1,0,1,2,9.09,0,4,5,2011,0
120,2011-01-06 06:00:00,1,0,1,2,8.335,0,36,6,2011,0
121,2011-01-06 07:00:00,1,0,1,2,11.365,0,95,7,2011,1
122,2011-01-06 08:00:00,1,0,1,1,11.365,3,216,8,2011,1
123,2011-01-06 09:00:00,1,0,1,2,12.12,6,116,9,2011,1
124,2011-01-06 10:00:00,1,0,1,1,12.88,3,42,10,2011,1
125,2011-01-06 11:00:00,1,0,1,1,12.88,2,57,11,2011,1
126,2011-01-06 12:00:00,1,0,1,1,14.395,6,78,12,2011,1
127,2011-01-06 13:00:00,1,0,1,1,13.635,12,55,13,2011,1
128,2011-01-06 14:00:00,1,0,1,1,13.635,11,59,14,2011,1
129,2011-01-06 15:00:00,1,0,1,1,13.635,8,54,15,2011,1
130,2011-01-06 16:00:00,1,0,1,1,12.88,12,74,16,2011,1
131,2011-01-06 17:00:00,1,0,1,1,11.365,9,163,17,2011,1
132,2011-01-06 18:00:00,1,0,1,1,11.365,5,158,18,2011,0
133,2011-01-06 19:00:00,1,0,1,1,12.88,3,109,19,2011,0
134,2011-01-06 20:00:00,1,0,1,1,10.605,3,66,20,2011,0
135,2011-01-06 21:00:00,1,0,1,2,10.605,0,48,21,2011,0
136,2011-01-06 22:00:00,1,0,1,2,10.605,1,51,22,2011,0
137,2011-01-06 23:00:00,1,0,1,2,9.85,4,19,23,2011,0
138,2011-01-07 00:00:00,1,0,1,2,9.85,4,13,0,2011,0
139,2011-01-07 01:00:00,1,0,1,2,9.85,2,5,1,2011,0
140,2011-01-07 02:00:00,1,0,1,2,9.85,0,1,2,2011,0
141,2011-01-07 04:00:00,1,0,1,2,10.605,0,1,4,2011,0
142,2011-01-07 05:00:00,1,0,1,3,13.635,0,5,5,2011,0
143,2011-01-07 06:00:00,1,0,1,2,12.88,8,26,6,2011,0
144,2011-01-07 07:00:00,1,0,1,1,10.605,8,76,7,2011,1
145,2011-01-07 08:00:00,1,0,1,1,9.85,20,190,8,2011,1
146,2011-01-07 09:00:00,1,0,1,1,9.09,9,125,9,2011,1
147,2011-01-07 10:00:00,1,0,1,1,9.85,16,47,10,2011,1
148,2011-01-07 11:00:00,1,0,1,2,9.85,19,48,11,2011,1
149,2011-01-07 12:00:00,1,0,1,2,9.85,9,50,12,2011,1
150,2011-01-07 13:00:00,1,0,1,2,9.09,9,64,13,2011,1
151,2011-01-07 14:00:00,1,0,1,2,9.85,7,43,14,2011,1
152,2011-01-07 15:00:00,1,0,1,2,10.605,9,63,15,2011,1
153,2011-01-07 16:00:00,1,0,1,2,10.605,5,82,16,2011,1
154,2011-01-07 17:00:00,1,0,1,2,12.88,9,178,17,2011,1
155,2011-01-07 18:00:00,1,0,1,1,11.365,7,116,18,2011,0
156,2011-01-07 19:00:00,1,0,1,1,9.85,3,92,19,2011,0
157,2011-01-07 20:00:00,1,0,1,1,10.605,1,50,20,2011,0
158,2011-01-07 21:00:00,1,0,1,1,9.85,0,39,21,2011,0
159,2011-01-07 22:00:00,1,0,1,2,9.85,2,34,22,2011,0
160,2011-01-07 23:00:00,1,0,1,2,9.85,1,14,23,2011,0
161,2011-01-08 00:00:00,1,0,0,2,9.85,1,24,0,2011,0
162,2011-01-08 01:00:00,1,0,0,2,10.605,1,15,1,2011,0
163,2011-01-08 02:00:00,1,0,0,2,12.12,3,13,2,2011,0
164,2011-01-08 03:00:00,1,0,0,3,9.85,0,7,3,2011,0
165,2011-01-08 04:00:00,1,0,0,3,9.85,0,1,4,2011,0
166,2011-01-08 05:00:00,1,0,0,2,8.335,0,5,5,2011,0
167,2011-01-08 06:00:00,1,0,0,2,8.335,0,2,6,2011,0
168,2011-01-08 07:00:00,1,0,0,2,9.09,1,8,7,2011,1
169,2011-01-08 08:00:00,1,0,0,3,9.09,0,15,8,2011,1
170,2011-01-08 09:00:00,1,0,0,3,9.09,0,20,9,2011,1
171,2011-01-08 10:00:00,1,0,0,2,9.85,5,56,10,2011,1
172,2011-01-08 11:00:00,1,0,0,2,9.09,2,60,11,2011,1
173,2011-01-08 12:00:00,1,0,0,2,9.09,8,90,12,2011,1
174,2011-01-08 13:00:00,1,0,0,1,9.09,7,95,13,2011,1
175,2011-01-08 14:00:00,1,0,0,1,8.335,12,83,14,2011,1
176,2011-01-08 15:00:00,1,0,0,1,8.335,5,69,15,2011,1
177,2011-01-08 16:00:00,1,0,0,1,6.82,8,68,16,2011,1
178,2011-01-08 17:00:00,1,0,0,1,6.06,5,64,17,2011,1
179,2011-01-08 18:00:00,1,0,0,1,6.06,3,52,18,2011,0
180,2011-01-08 19:00:00,1,0,0,1,6.06,4,26,19,2011,0
181,2011-01-08 20:00:00,1,0,0,1,6.06,0,28,20,2011,0
182,2011-01-08 21:00:00,1,0,0,1,5.305,2,35,21,2011,0
183,2011-01-08 22:00:00,1,0,0,1,5.305,1,33,22,2011,0
184,2011-01-08 23:00:00,1,0,0,1,3.03,0,22,23,2011,0
185,2011-01-09 00:00:00,1,0,0,1,3.79,1,24,0,2011,0
186,2011-01-09 01:00:00,1,0,0,1,3.03,0,12,1,2011,0
187,2011-01-09 02:00:00,1,0,0,1,3.03,0,11,2,2011,0
188,2011-01-09 03:00:00,1,0,0,1,3.79,0,4,3,2011,0
189,2011-01-09 04:00:00,1,0,0,1,4.545,0,1,4,2011,0
190,2011-01-09 05:00:00,1,0,0,1,4.545,0,1,5,2011,0
191,2011-01-09 06:00:00,1,0,0,1,4.545,0,1,6,2011,0
192,2011-01-09 07:00:00,1,0,0,1,4.545,1,5,7,2011,1
193,2011-01-09 08:00:00,1,0,0,1,4.545,0,10,8,2011,1
194,2011-01-09 09:00:00,1,0,0,1,3.79,0,19,9,2011,1
195,2011-01-09 10:00:00,1,0,0,1,5.305,0,49,10,2011,1
196,2011-01-09 11:00:00,1,0,0,1,6.06,2,47,11,2011,1
197,2011-01-09 12:00:00,1,0,0,1,6.82,4,79,12,2011,1
198,2011-01-09 13:00:00,1,0,0,1,8.335,6,69,13,2011,1
199,2011-01-09 14:00:00,1,0,0,1,9.09,8,64,14,2011,1
200,2011-01-09 15:00:00,1,0,0,1,9.85,5,77,15,2011,1
201,2011-01-09 16:00:00,1,0,0,1,8.335,13,79,16,2011,1
202,2011-01-09 17:00:00,1,0,0,1,7.575,3,59,17,2011,1
203,2011-01-09 18:00:00,1,0,0,1,6.82,4,44,18,2011,0
204,2011-01-09 19:00:00,1,0,0,1,6.82,1,40,19,2011,0
205,2011-01-09 20:00:00,1,0,0,1,6.06,0,38,20,2011,0
206,2011-01-09 21:00:00,1,0,0,1,5.305,1,19,21,2011,0
207,2011-01-09 22:00:00,1,0,0,1,6.06,5,10,22,2011,0
208,2011-01-09 23:00:00,1,0,0,1,6.82,0,6,23,2011,0
209,2011-01-10 00:00:00,1,0,1,1,6.06,2,3,0,2011,0
210,2011-01-10 01:00:00,1,0,1,1,6.06,1,0,1,2011,0
211,2011-01-10 02:00:00,1,0,1,1,6.06,0,3,2,2011,0
212,2011-01-10 03:00:00,1,0,1,1,6.06,0,1,3,2011,0
213,2011-01-10 04:00:00,1,0,1,1,6.06,1,2,4,2011,0
214,2011-01-10 05:00:00,1,0,1,1,5.305,0,3,5,2011,0
215,2011-01-10 06:00:00,1,0,1,1,6.06,0,31,6,2011,0
216,2011-01-10 07:00:00,1,0,1,1,6.06,2,75,7,2011,1
217,2011-01-10 08:00:00,1,0,1,2,6.06,4,184,8,2011,1
218,2011-01-10 09:00:00,1,0,1,2,6.06,2,92,9,2011,1
219,2011-01-10 10:00:00,1,0,1,2,6.06,0,31,10,2011,1
220,2011-01-10 11:00:00,1,0,1,2,6.82,2,28,11,2011,1
221,2011-01-10 12:00:00,1,0,1,2,9.09,5,47,12,2011,1
222,2011-01-10 13:00:00,1,0,1,2,9.09,4,50,13,2011,1
223,2011-01-10 14:00:00,1,0,1,2,9.85,0,47,14,2011,1
224,2011-01-10 15:00:00,1,0,1,2,9.85,2,43,15,2011,1
225,2011-01-10 16:00:00,1,0,1,1,10.605,4,70,16,2011,1
226,2011-01-10 17:00:00,1,0,1,1,11.365,4,174,17,2011,1
227,2011-01-10 18:00:00,1,0,1,1,9.85,1,154,18,2011,0
228,2011-01-10 19:00:00,1,0,1,1,8.335,3,92,19,2011,0
229,2011-01-10 20:00:00,1,0,1,1,8.335,1,73,20,2011,0
230,2011-01-10 21:00:00,1,0,1,1,6.82,1,37,21,2011,0
231,2011-01-10 22:00:00,1,0,1,1,7.575,2,22,22,2011,0
232,2011-01-10 23:00:00,1,0,1,1,7.575,0,18,23,2011,0
233,2011-01-11 00:00:00,1,0,1,1,8.335,2,10,0,2011,0
234,2011-01-11 01:00:00,1,0,1,1,7.575,0,3,1,2011,0
235,2011-01-11 02:00:00,1,0,1,2,7.575,0,3,2,2011,0
236,2011-01-11 05:00:00,1,0,1,2,9.09,0,6,5,2011,0
237,2011-01-11 06:00:00,1,0,1,2,9.09,0,27,6,2011,0
238,2011-01-11 07:00:00,1,0,1,2,11.365,2,97,7,2011,1
239,2011-01-11 08:00:00,1,0,1,2,10.605,3,214,8,2011,1
240,2011-01-11 09:00:00,1,0,1,2,9.85,3,127,9,2011,1
241,2011-01-11 10:00:00,1,0,1,2,10.605,3,51,10,2011,1
242,2011-01-11 11:00:00,1,0,1,2,10.605,4,31,11,2011,1
243,2011-01-11 12:00:00,1,0,1,2,11.365,2,55,12,2011,1
244,2011-01-11 13:00:00,1,0,1,2,11.365,6,46,13,2011,1
245,2011-01-11 14:00:00,1,0,1,2,11.365,3,60,14,2011,1
246,2011-01-11 15:00:00,1,0,1,2,9.85,2,45,15,2011,1
247,2011-01-11 16:00:00,1,0,1,2,7.575,4,72,16,2011,1
248,2011-01-11 17:00:00,1,0,1,2,7.575,6,130,17,2011,1
249,2011-01-11 18:00:00,1,0,1,3,9.09,1,94,18,2011,0
250,2011-01-11 19:00:00,1,0,1,3,11.365,0,51,19,2011,0
251,2011-01-11 20:00:00,1,0,1,3,7.575,0,32,20,2011,0
252,2011-01-11 21:00:00,1,0,1,3,9.85,0,20,21,2011,0
253,2011-01-11 22:00:00,1,0,1,3,9.09,1,28,22,2011,0
254,2011-01-11 23:00:00,1,0,1,3,9.85,1,18,23,2011,0
255,2011-01-12 00:00:00,1,0,1,2,9.85,0,7,0,2011,0
256,2011-01-12 01:00:00,1,0,1,2,9.09,0,6,1,2011,0
257,2011-01-12 02:00:00,1,0,1,1,7.575,0,1,2,2011,0
258,2011-01-12 05:00:00,1,0,1,1,7.575,0,5,5,2011,0
259,2011-01-12 06:00:00,1,0,1,1,7.575,0,16,6,2011,0
260,2011-01-12 07:00:00,1,0,1,1,7.575,0,54,7,2011,1
261,2011-01-12 08:00:00,1,0,1,1,8.335,3,125,8,2011,1
262,2011-01-12 09:00:00,1,0,1,1,6.82,3,78,9,2011,1
263,2011-01-12 10:00:00,1,0,1,1,9.09,0,39,10,2011,1
264,2011-01-12 11:00:00,1,0,1,1,9.09,3,32,11,2011,1
265,2011-01-12 12:00:00,1,0,1,1,7.575,3,52,12,2011,1
266,2011-01-12 13:00:00,1,0,1,1,9.85,0,49,13,2011,1
267,2011-01-12 14:00:00,1,0,1,1,9.09,0,44,14,2011,1
268,2011-01-12 15:00:00,1,0,1,1,8.335,1,48,15,2011,1
269,2011-01-12 16:00:00,1,0,1,1,9.85,5,63,16,2011,1
270,2011-01-12 17:00:00,1,0,1,1,9.09,0,139,17,2011,1
271,2011-01-12 18:00:00,1,0,1,1,7.575,2,135,18,2011,0
272,2011-01-12 19:00:00,1,0,1,1,7.575,1,82,19,2011,0
273,2011-01-12 20:00:00,1,0,1,1,6.82,2,54,20,2011,0
274,2011-01-12 21:00:00,1,0,1,1,6.82,0,57,21,2011,0
275,2011-01-12 22:00:00,1,0,1,1,6.06,1,32,22,2011,0
276,2011-01-12 23:00:00,1,0,1,1,5.305,1,19,23,2011,0
277,2011-01-13 00:00:00,1,0,1,1,6.06,1,6,0,2011,0
278,2011-01-13 01:00:00,1,0,1,1,6.06,0,2,1,2011,0
279,2011-01-13 02:00:00,1,0,1,1,6.06,0,2,2,2011,0
280,2011-01-13 03:00:00,1,0,1,1,6.06,0,3,3,2011,0
281,2011-01-13 04:00:00,1,0,1,1,6.06,0,4,4,2011,0
282,2011-01-13 05:00:00,1,0,1,1,6.06,0,3,5,2011,0
283,2011-01-13 06:00:00,1,0,1,1,7.575,0,28,6,2011,0
284,2011-01-13 07:00:00,1,0,1,1,7.575,0,72,7,2011,1
285,2011-01-13 08:00:00,1,0,1,1,6.82,5,197,8,2011,1
286,2011-01-13 09:00:00,1,0,1,1,6.06,2,137,9,2011,1
287,2011-01-13 10:00:00,1,0,1,2,6.82,2,36,10,2011,1
288,2011-01-13 11:00:00,1,0,1,2,8.335,4,33,11,2011,1
289,2011-01-13 12:00:00,1,0,1,1,8.335,3,49,12,2011,1
290,2011-01-13 13:00:00,1,0,1,1,9.85,2,81,13,2011,1
291,2011-01-13 14:00:00,1,0,1,1,9.85,3,39,14,2011,1
292,2011-01-13 15:00:00,1,0,1,1,10.605,5,55,15,2011,1
293,2011-01-13 16:00:00,1,0,1,1,10.605,2,76,16,2011,1
294,2011-01-13 17:00:00,1,0,1,1,9.09,4,158,17,2011,1
295,2011-01-13 18:00:00,1,0,1,1,9.09,3,141,18,2011,0
296,2011-01-13 19:00:00,1,0,1,1,7.575,1,98,19,2011,0
297,2011-01-13 20:00:00,1,0,1,1,7.575,0,64,20,2011,0
298,2011-01-13 21:00:00,1,0,1,1,6.06,0,40,21,2011,0
299,2011-01-13 22:00:00,1,0,1,1,6.06,0,30,22,2011,0
300,2011-01-13 23:00:00,1,0,1,1,6.82,1,14,23,2011,0
301,2011-01-14 00:00:00,1,0,1,1,6.82,0,14,0,2011,0
302,2011-01-14 01:00:00,1,0,1,1,6.06,0,5,1,2011,0
303,2011-01-14 02:00:00,1,0,1,1,6.06,0,1,2,2011,0
304,2011-01-14 03:00:00,1,0,1,1,6.82,0,1,3,2011,0
305,2011-01-14 05:00:00,1,0,1,1,6.82,0,8,5,2011,0
306,2011-01-14 06:00:00,1,0,1,1,9.09,0,17,6,2011,0
307,2011-01-14 07:00:00,1,0,1,1,6.06,0,70,7,2011,1
308,2011-01-14 08:00:00,1,0,1,1,8.335,2,156,8,2011,1
309,2011-01-14 09:00:00,1,0,1,1,7.575,0,117,9,2011,1
310,2011-01-14 10:00:00,1,0,1,1,9.09,4,40,10,2011,1
311,2011-01-14 11:00:00,1,0,1,1,8.335,6,47,11,2011,1
312,2011-01-14 12:00:00,1,0,1,1,9.85,2,59,12,2011,1
313,2011-01-14 13:00:00,1,0,1,1,9.85,4,73,13,2011,1
314,2011-01-14 14:00:00,1,0,1,1,10.605,5,59,14,2011,1
315,2011-01-14 15:00:00,1,0,1,1,12.12,9,59,15,2011,1
316,2011-01-14 16:00:00,1,0,1,1,12.12,3,87,16,2011,1
317,2011-01-14 17:00:00,1,0,1,1,11.365,4,155,17,2011,1
318,2011-01-14 18:00:00,1,0,1,1,12.88,5,134,18,2011,0
319,2011-01-14 19:00:00,1,0,1,1,9.85,3,89,19,2011,0
320,2011-01-14 20:00:00,1,0,1,1,12.12,0,68,20,2011,0
321,2011-01-14 21:00:00,1,0,1,1,11.365,4,48,21,2011,0
322,2011-01-14 22:00:00,1,0,1,2,11.365,2,34,22,2011,0
323,2011-01-14 23:00:00,1,0,1,2,12.12,1,26,23,2011,0
324,2011-01-15 00:00:00,1,0,0,1,12.12,3,25,0,2011,0
325,2011-01-15 01:00:00,1,0,0,2,9.85,2,18,1,2011,0
326,2011-01-15 02:00:00,1,0,0,2,9.85,0,12,2,2011,0
327,2011-01-15 03:00:00,1,0,0,2,11.365,1,7,3,2011,0
328,2011-01-15 04:00:00,1,0,0,2,11.365,0,5,4,2011,0
329,2011-01-15 05:00:00,1,0,0,1,11.365,0,1,5,2011,0
330,2011-01-15 06:00:00,1,0,0,1,8.335,1,2,6,2011,0
331,2011-01-15 07:00:00,1,0,0,1,10.605,1,9,7,2011,1
332,2011-01-15 08:00:00,1,0,0,1,7.575,1,22,8,2011,1
333,2011-01-15 09:00:00,1,0,0,1,9.09,2,31,9,2011,1
334,2011-01-15 10:00:00,1,0,0,1,9.85,2,57,10,2011,1
335,2011-01-15 11:00:00,1,0,0,1,9.85,18,54,11,2011,1
336,2011-01-15 12:00:00,1,0,0,1,11.365,15,74,12,2011,1
337,2011-01-15 13:00:00,1,0,0,1,12.88,21,80,13,2011,1
338,2011-01-15 14:00:00,1,0,0,1,14.395,26,92,14,2011,1
339,2011-01-15 15:00:00,1,0,0,2,15.91,21,108,15,2011,1
340,2011-01-15 16:00:00,1,0,0,2,16.665,33,95,16,2011,1
341,2011-01-15 17:00:00,1,0,0,2,15.15,29,54,17,2011,1
342,2011-01-15 18:00:00,1,0,0,2,14.395,15,69,18,2011,0
343,2011-01-15 19:00:00,1,0,0,2,15.15,14,60,19,2011,0
344,2011-01-15 20:00:00,1,0,0,2,15.15,6,35,20,2011,0
345,2011-01-15 21:00:00,1,0,0,2,15.15,6,51,21,2011,0
346,2011-01-15 22:00:00,1,0,0,2,15.91,0,26,22,2011,0
347,2011-01-15 23:00:00,1,0,0,1,14.395,5,39,23,2011,0
348,2011-01-16 00:00:00,1,0,0,1,15.15,6,33,0,2011,0
349,2011-01-16 01:00:00,1,0,0,1,13.635,4,19,1,2011,0
350,2011-01-16 02:00:00,1,0,0,1,14.395,3,13,2,2011,0
351,2011-01-16 03:00:00,1,0,0,1,13.635,9,6,3,2011,0
352,2011-01-16 04:00:00,1,0,0,1,12.88,0,1,4,2011,0
353,2011-01-16 05:00:00,1,0,0,2,12.88,1,1,5,2011,0
354,2011-01-16 06:00:00,1,0,0,2,12.88,0,1,6,2011,0
355,2011-01-16 07:00:00,1,0,0,2,10.605,0,3,7,2011,1
356,2011-01-16 08:00:00,1,0,0,1,10.605,0,18,8,2011,1
357,2011-01-16 09:00:00,1,0,0,1,10.605,3,29,9,2011,1
358,2011-01-16 10:00:00,1,0,0,1,10.605,8,71,10,2011,1
359,2011-01-16 11:00:00,1,0,0,1,11.365,23,70,11,2011,1
360,2011-01-16 12:00:00,1,0,0,1,10.605,29,75,12,2011,1
361,2011-01-16 13:00:00,1,0,0,1,11.365,23,95,13,2011,1
362,2011-01-16 14:00:00,1,0,0,1,13.635,22,69,14,2011,1
363,2011-01-16 15:00:00,1,0,0,1,12.12,35,78,15,2011,1
364,2011-01-16 16:00:00,1,0,0,1,11.365,22,77,16,2011,1
365,2011-01-16 17:00:00,1,0,0,1,10.605,23,82,17,2011,1
