,count,season,holiday,workingday,weather,atemp,humidity,windspeed,hour,year,dow,month,rushhour,sunindicator
43,22,1,0,0,1,13.635,39,23.9994,20,2011,7,1,0,0
44,31,1,0,0,1,11.365,44,22.0028,21,2011,7,1,0,0
45,9,1,0,0,1,10.605,44,19.9995,22,2011,7,1,0,0
46,8,1,0,0,1,11.365,47,11.0014,23,2011,7,1,0,0
47,5,1,0,1,1,9.85,44,23.9994,0,2011,1,1,0,0
48,2,1,0,1,1,8.335,44,27.9993,1,2011,1,1,0,0
49,1,1,0,1,1,6.82,47,26.0027,4,2011,1,1,0,0
50,3,1,0,1,1,6.82,47,19.0012,5,2011,1,1,0,0
51,30,1,0,1,1,5.305,50,26.0027,6,2011,1,1,1,0
52,64,1,0,1,1,6.82,50,12.998,7,2011,1,1,1,1
53,154,1,0,1,1,6.06,50,19.0012,8,2011,1,1,1,1
54,88,1,0,1,1,6.82,43,26.0027,9,2011,1,1,1,1
55,44,1,0,1,1,8.335,43,16.9979,10,2011,1,1,0,1
56,51,1,0,1,1,9.09,40,22.0028,11,2011,1,1,0,1
57,61,1,0,1,1,10.605,35,19.9995,12,2011,1,1,0,1
58,61,1,0,1,1,10.605,35,19.0012,13,2011,1,1,0,1
59,77,1,0,1,1,12.12,30,19.0012,14,2011,1,1,0,1
60,72,1,0,1,1,12.12,30,16.9979,15,2011,1,1,1,1
61,76,1,0,1,1,12.12,30,16.9979,16,2011,1,1,1,1
62,157,1,0,1,1,11.365,30,15.0013,17,2011,1,1,1,1
63,157,1,0,1,1,12.88,32,7.0015,18,2011,1,1,1,0
64,110,1,0,1,1,12.88,47,0.0,19,2011,1,1,0,0
65,52,1,0,1,1,11.365,47,7.0015,20,2011,1,1,0,0
66,52,1,0,1,1,9.85,64,8.9981,21,2011,1,1,0,0
67,20,1,0,1,1,7.575,69,8.9981,22,2011,1,1,0,0
68,12,1,0,1,1,10.605,55,7.0015,23,2011,1,1,0,0
69,5,1,0,1,1,9.09,55,7.0015,0,2011,2,1,0,0
70,2,1,0,1,1,9.09,59,7.0015,1,2011,2,1,0,0
71,1,1,0,1,1,7.575,63,8.9981,2,2011,2,1,0,0
72,2,1,0,1,1,9.09,63,6.0032,4,2011,2,1,0,0
73,4,1,0,1,1,7.575,68,7.0015,5,2011,2,1,0,0
74,36,1,0,1,1,7.575,74,7.0015,6,2011,2,1,1,0
75,94,1,0,1,1,7.575,74,8.9981,7,2011,2,1,1,1
76,179,1,0,1,1,7.575,69,11.0014,8,2011,2,1,1,1
77,100,1,0,1,1,7.575,64,15.0013,9,2011,2,1,1,1
78,42,1,0,1,2,6.82,69,22.0028,10,2011,2,1,0,1
79,57,1,0,1,1,10.605,51,19.9995,11,2011,2,1,0,1
80,78,1,0,1,1,11.365,51,11.0014,12,2011,2,1,0,1
81,97,1,0,1,1,11.365,56,12.998,13,2011,2,1,0,1
82,63,1,0,1,1,12.88,52,15.0013,14,2011,2,1,0,1
83,65,1,0,1,1,13.635,52,16.9979,15,2011,2,1,1,1
84,83,1,0,1,1,14.395,49,16.9979,16,2011,2,1,1,1
85,212,1,0,1,1,13.635,48,15.0013,17,2011,2,1,1,1
86,182,1,0,1,1,12.88,48,12.998,18,2011,2,1,1,0
87,112,1,0,1,1,12.88,48,7.0015,19,2011,2,1,0,0
88,54,1,0,1,1,12.88,48,7.0015,20,2011,2,1,0,0
89,48,1,0,1,1,13.635,64,0.0,21,2011,2,1,0,0
90,35,1,0,1,1,12.88,64,6.0032,22,2011,2,1,0,0
91,11,1,0,1,1,11.365,69,6.0032,23,2011,2,1,0,0
92,6,1,0,1,1,12.88,64,0.0,0,2011,3,1,0,0
93,6,1,0,1,1,9.85,74,6.0032,1,2011,3,1,0,0
94,2,1,0,1,1,9.85,74,6.0032,2,2011,3,1,0,0
95,2,1,0,1,1,11.365,48,15.0013,4,2011,3,1,0,0
96,3,1,0,1,1,11.365,47,11.0014,5,2011,3,1,0,0
97,33,1,0,1,1,9.85,47,15.0013,6,2011,3,1,1,0
98,88,1,0,1,1,9.09,43,12.998,7,2011,3,1,1,1
99,195,1,0,1,1,9.09,40,19.9995,8,2011,3,1,1,1
100,115,1,0,1,1,9.85,37,22.0028,9,2011,3,1,1,1
101,57,1,0,1,1,9.85,37,22.0028,10,2011,3,1,0,1
102,46,1,0,1,1,11.365,33,22.0028,11,2011,3,1,0,1
103,79,1,0,1,1,11.365,33,22.0028,12,2011,3,1,0,1
104,71,1,0,1,1,12.88,30,19.9995,13,2011,3,1,0,1
105,62,1,0,1,1,14.395,28,12.998,14,2011,3,1,0,1
106,62,1,0,1,1,14.395,28,12.998,15,2011,3,1,1,1
107,89,1,0,1,1,15.91,28,6.0032,16,2011,3,1,1,1
108,190,1,0,1,1,11.365,38,12.998,17,2011,3,1,1,1
109,169,1,0,1,1,12.12,38,8.9981,18,2011,3,1,1,0
110,132,1,0,1,1,12.88,38,7.0015,19,2011,3,1,0,0
111,89,1,0,1,1,11.365,47,11.0014,20,2011,3,1,0,0
112,43,1,0,1,1,9.85,51,12.998,21,2011,3,1,0,0
113,42,1,0,1,1,9.85,55,8.9981,22,2011,3,1,0,0
114,19,1,0,1,1,12.88,47,0.0,23,2011,3,1,0,0
115,11,1,0,1,1,12.12,55,0.0,0,2011,4,1,0,0
116,4,1,0,1,1,11.365,64,0.0,1,2011,4,1,0,0
117,2,1,0,1,1,11.365,64,0.0,2,2011,4,1,0,0
118,1,1,0,1,2,9.85,64,6.0032,4,2011,4,1,0,0
119,4,1,0,1,2,9.09,69,6.0032,5,2011,4,1,0,0
120,36,1,0,1,2,8.335,63,7.0015,6,2011,4,1,1,0
121,95,1,0,1,2,11.365,59,0.0,7,2011,4,1,1,1
122,219,1,0,1,1,11.365,59,0.0,8,2011,4,1,1,1
123,122,1,0,1,2,12.12,51,0.0,9,2011,4,1,1,1
124,45,1,0,1,1,12.88,47,0.0,10,2011,4,1,0,1
125,59,1,0,1,1,12.88,44,6.0032,11,2011,4,1,0,1
126,84,1,0,1,1,14.395,35,0.0,12,2011,4,1,0,1
127,67,1,0,1,1,13.635,35,7.0015,13,2011,4,1,0,1
128,70,1,0,1,1,13.635,36,11.0014,14,2011,4,1,0,1
129,62,1,0,1,1,13.635,36,0.0,15,2011,4,1,1,1
130,86,1,0,1,1,12.88,38,11.0014,16,2011,4,1,1,1
131,172,1,0,1,1,11.365,51,11.0014,17,2011,4,1,1,1
132,163,1,0,1,1,11.365,51,8.9981,18,2011,4,1,1,0
133,112,1,0,1,1,12.88,55,6.0032,19,2011,4,1,0,0
134,69,1,0,1,1,10.605,51,11.0014,20,2011,4,1,0,0
135,48,1,0,1,2,10.605,55,15.0013,21,2011,4,1,0,0
136,52,1,0,1,2,10.605,51,19.0012,22,2011,4,1,0,0
137,23,1,0,1,2,9.85,59,12.998,23,2011,4,1,0,0
138,17,1,0,1,2,9.85,64,12.998,0,2011,5,1,0,0
139,7,1,0,1,2,9.85,69,15.0013,1,2011,5,1,0,0
140,1,1,0,1,2,9.85,69,15.0013,2,2011,5,1,0,0
141,1,1,0,1,2,10.605,69,8.9981,4,2011,5,1,0,0
142,5,1,0,1,3,13.635,55,0.0,5,2011,5,1,0,0
143,34,1,0,1,2,12.88,69,0.0,6,2011,5,1,1,0
144,84,1,0,1,1,10.605,69,8.9981,7,2011,5,1,1,1
145,210,1,0,1,1,9.85,51,16.9979,8,2011,5,1,1,1
146,134,1,0,1,1,9.09,47,19.9995,9,2011,5,1,1,1
147,63,1,0,1,1,9.85,37,22.0028,10,2011,5,1,0,1
148,67,1,0,1,2,9.85,40,15.0013,11,2011,5,1,0,1
149,59,1,0,1,2,9.85,37,16.9979,12,2011,5,1,0,1
150,73,1,0,1,2,9.09,37,19.0012,13,2011,5,1,0,1
151,50,1,0,1,2,9.85,40,16.9979,14,2011,5,1,0,1
152,72,1,0,1,2,10.605,37,11.0014,15,2011,5,1,1,1
153,87,1,0,1,2,10.605,37,11.0014,16,2011,5,1,1,1
154,187,1,0,1,2,12.88,37,0.0,17,2011,5,1,1,1
155,123,1,0,1,1,11.365,40,6.0032,18,2011,5,1,1,0
156,95,1,0,1,1,9.85,55,6.0032,19,2011,5,1,0,0
157,51,1,0,1,1,10.605,47,7.0015,20,2011,5,1,0,0
158,39,1,0,1,1,9.85,47,8.9981,21,2011,5,1,0,0
159,36,1,0,1,2,9.85,43,11.0014,22,2011,5,1,0,0
160,15,1,0,1,2,9.85,51,11.0014,23,2011,5,1,0,0
161,25,1,0,0,2,9.85,51,11.0014,0,2011,6,1,0,0
162,16,1,0,0,2,10.605,55,6.0032,1,2011,6,1,0,0
163,16,1,0,0,2,12.12,55,0.0,2,2011,6,1,0,0
164,7,1,0,0,3,9.85,55,11.0014,3,2011,6,1,0,0
165,1,1,0,0,3,9.85,55,11.0014,4,2011,6,1,0,0
166,5,1,0,0,2,8.335,74,11.0014,5,2011,6,1,0,0
167,2,1,0,0,2,8.335,74,11.0014,6,2011,6,1,1,0
168,9,1,0,0,2,9.09,74,7.0015,7,2011,6,1,1,1
169,15,1,0,0,3,9.09,93,7.0015,8,2011,6,1,1,1
170,20,1,0,0,3,9.09,93,7.0015,9,2011,6,1,1,1
171,61,1,0,0,2,9.85,80,11.0014,10,2011,6,1,0,1
172,62,1,0,0,2,9.09,69,26.0027,11,2011,6,1,0,1
173,98,1,0,0,2,9.09,59,23.9994,12,2011,6,1,0,1
174,102,1,0,0,1,9.09,44,22.0028,13,2011,6,1,0,1
175,95,1,0,0,1,8.335,32,32.9975,14,2011,6,1,0,1
176,74,1,0,0,1,8.335,32,30.0026,15,2011,6,1,1,1
177,76,1,0,0,1,6.82,29,30.0026,16,2011,6,1,1,1
178,69,1,0,0,1,6.06,37,36.9974,17,2011,6,1,1,1
179,55,1,0,0,1,6.06,39,19.9995,18,2011,6,1,1,0
180,30,1,0,0,1,6.06,36,16.9979,19,2011,6,1,0,0
181,28,1,0,0,1,6.06,36,16.9979,20,2011,6,1,0,0
182,37,1,0,0,1,5.305,39,23.9994,21,2011,6,1,0,0
183,34,1,0,0,1,5.305,36,26.0027,22,2011,6,1,0,0
184,22,1,0,0,1,3.03,39,30.0026,23,2011,6,1,0,0
185,25,1,0,0,1,3.79,42,26.0027,0,2011,7,1,0,0
186,12,1,0,0,1,3.03,42,31.0009,1,2011,7,1,0,0
187,11,1,0,0,1,3.03,46,31.0009,2,2011,7,1,0,0
188,4,1,0,0,1,3.79,46,27.9993,3,2011,7,1,0,0
189,1,1,0,0,1,4.545,53,12.998,4,2011,7,1,0,0
190,1,1,0,0,1,4.545,53,12.998,5,2011,7,1,0,0
191,1,1,0,0,1,4.545,49,19.0012,6,2011,7,1,1,0
192,6,1,0,0,1,4.545,53,12.998,7,2011,7,1,1,1
193,10,1,0,0,1,4.545,49,19.0012,8,2011,7,1,1,1
194,19,1,0,0,1,3.79,46,35.0008,9,2011,7,1,1,1
195,49,1,0,0,1,5.305,43,26.0027,10,2011,7,1,0,1
196,49,1,0,0,1,6.06,40,35.0008,11,2011,7,1,0,1
197,83,1,0,0,1,6.82,37,30.0026,12,2011,7,1,0,1
198,75,1,0,0,1,8.335,34,30.0026,13,2011,7,1,0,1
199,72,1,0,0,1,9.09,32,31.0009,14,2011,7,1,0,1
200,82,1,0,0,1,9.85,35,23.9994,15,2011,7,1,1,1
201,92,1,0,0,1,8.335,34,30.0026,16,2011,7,1,1,1
202,62,1,0,0,1,7.575,37,26.0027,17,2011,7,1,1,1
203,48,1,0,0,1,6.82,40,22.0028,18,2011,7,1,1,0
204,41,1,0,0,1,6.82,43,22.0028,19,2011,7,1,0,0
205,38,1,0,0,1,6.06,46,16.9979,20,2011,7,1,0,0
206,20,1,0,0,1,5.305,46,27.9993,21,2011,7,1,0,0
207,15,1,0,0,1,6.06,46,19.9995,22,2011,7,1,0,0
208,6,1,0,0,1,6.82,50,12.998,23,2011,7,1,0,0
209,5,1,0,1,1,6.06,50,19.0012,0,2011,1,1,0,0
210,1,1,0,1,1,6.06,50,19.0012,1,2011,1,1,0,0
211,3,1,0,1,1,6.06,50,15.0013,2,2011,1,1,0,0
212,1,1,0,1,1,6.06,50,15.0013,3,2011,1,1,0,0
213,3,1,0,1,1,6.06,54,8.9981,4,2011,1,1,0,0
214,3,1,0,1,1,5.305,54,16.9979,5,2011,1,1,0,0
215,31,1,0,1,1,6.06,50,19.0012,6,2011,1,1,1,0
216,77,1,0,1,1,6.06,50,15.0013,7,2011,1,1,1,1
217,188,1,0,1,2,6.06,50,19.0012,8,2011,1,1,1,1
218,94,1,0,1,2,6.06,50,16.9979,9,2011,1,1,1,1
219,31,1,0,1,2,6.06,50,19.9995,10,2011,1,1,0,1
220,30,1,0,1,2,6.82,47,19.0012,11,2011,1,1,0,1
221,52,1,0,1,2,9.09,40,19.0012,12,2011,1,1,0,1
222,54,1,0,1,2,9.09,40,19.0012,13,2011,1,1,0,1
223,47,1,0,1,2,9.85,40,15.0013,14,2011,1,1,0,1
224,45,1,0,1,2,9.85,40,15.0013,15,2011,1,1,1,1
225,74,1,0,1,1,10.605,40,8.9981,16,2011,1,1,1,1
226,178,1,0,1,1,11.365,40,7.0015,17,2011,1,1,1,1
227,155,1,0,1,1,9.85,40,15.0013,18,2011,1,1,1,0
228,95,1,0,1,1,8.335,47,11.0014,19,2011,1,1,0,0
229,74,1,0,1,1,8.335,50,11.0014,20,2011,1,1,0,0
230,38,1,0,1,1,6.82,59,12.998,21,2011,1,1,0,0
231,24,1,0,1,1,7.575,59,11.0014,22,2011,1,1,0,0
232,18,1,0,1,1,7.575,59,11.0014,23,2011,1,1,0,0
233,12,1,0,1,1,8.335,59,7.0015,0,2011,2,1,0,0
234,3,1,0,1,1,7.575,59,11.0014,1,2011,2,1,0,0
235,3,1,0,1,2,7.575,55,12.998,2,2011,2,1,0,0
236,6,1,0,1,2,9.09,55,8.9981,5,2011,2,1,0,0
237,27,1,0,1,2,9.09,55,8.9981,6,2011,2,1,1,0
238,99,1,0,1,2,11.365,55,0.0,7,2011,2,1,1,1
239,217,1,0,1,2,10.605,51,6.0032,8,2011,2,1,1,1
240,130,1,0,1,2,9.85,51,11.0014,9,2011,2,1,1,1
241,54,1,0,1,2,10.605,51,11.0014,10,2011,2,1,0,1
242,35,1,0,1,2,10.605,47,8.9981,11,2011,2,1,0,1
243,57,1,0,1,2,11.365,51,7.0015,12,2011,2,1,0,1
244,52,1,0,1,2,11.365,59,6.0032,13,2011,2,1,0,1
245,63,1,0,1,2,11.365,59,6.0032,14,2011,2,1,0,1
246,47,1,0,1,2,9.85,80,6.0032,15,2011,2,1,1,1
247,76,1,0,1,2,7.575,86,15.0013,16,2011,2,1,1,1
248,136,1,0,1,2,7.575,86,15.0013,17,2011,2,1,1,1
249,95,1,0,1,3,9.09,93,7.0015,18,2011,2,1,1,0
250,51,1,0,1,3,11.365,93,0.0,19,2011,2,1,0,0
251,32,1,0,1,3,7.575,93,12.998,20,2011,2,1,0,0
252,20,1,0,1,3,9.85,86,6.0032,21,2011,2,1,0,0
253,29,1,0,1,3,9.09,93,7.0015,22,2011,2,1,0,0
254,19,1,0,1,3,9.85,93,6.0032,23,2011,2,1,0,0
255,7,1,0,1,2,9.85,86,6.0032,0,2011,3,1,0,0
256,6,1,0,1,2,9.09,86,7.0015,1,2011,3,1,0,0
257,1,1,0,1,1,7.575,86,8.9981,2,2011,3,1,0,0
258,5,1,0,1,1,7.575,86,11.0014,5,2011,3,1,0,0
259,16,1,0,1,1,7.575,93,8.9981,6,2011,3,1,1,0
260,54,1,0,1,1,7.575,69,8.9981,7,2011,3,1,1,1
261,128,1,0,1,1,8.335,59,11.0014,8,2011,3,1,1,1
262,81,1,0,1,1,6.82,59,22.0028,9,2011,3,1,1,1
263,39,1,0,1,1,9.09,55,15.0013,10,2011,3,1,0,1
264,35,1,0,1,1,9.09,51,26.0027,11,2011,3,1,0,1
265,55,1,0,1,1,7.575,47,39.0007,12,2011,3,1,0,1
266,49,1,0,1,1,9.85,44,23.9994,13,2011,3,1,0,1
267,44,1,0,1,1,9.09,47,22.0028,14,2011,3,1,0,1
268,49,1,0,1,1,8.335,47,27.9993,15,2011,3,1,1,1
269,68,1,0,1,1,9.85,44,22.0028,16,2011,3,1,1,1
270,139,1,0,1,1,9.09,47,23.9994,17,2011,3,1,1,1
271,137,1,0,1,1,7.575,47,35.0008,18,2011,3,1,1,0
272,83,1,0,1,1,7.575,47,27.9993,19,2011,3,1,0,0
273,56,1,0,1,1,6.82,50,22.0028,20,2011,3,1,0,0
274,57,1,0,1,1,6.82,55,22.0028,21,2011,3,1,0,0
275,33,1,0,1,1,6.06,55,30.0026,22,2011,3,1,0,0
276,20,1,0,1,1,5.305,59,27.9993,23,2011,3,1,0,0
277,7,1,0,1,1,6.06,59,19.0012,0,2011,4,1,0,0
278,2,1,0,1,1,6.06,50,19.0012,1,2011,4,1,0,0
279,2,1,0,1,1,6.06,50,23.9994,2,2011,4,1,0,0
280,3,1,0,1,1,6.06,50,22.0028,3,2011,4,1,0,0
281,4,1,0,1,1,6.06,50,16.9979,4,2011,4,1,0,0
282,3,1,0,1,1,6.06,50,19.9995,5,2011,4,1,0,0
283,28,1,0,1,1,7.575,54,8.9981,6,2011,4,1,1,0
284,72,1,0,1,1,7.575,54,8.9981,7,2011,4,1,1,1
285,202,1,0,1,1,6.82,50,12.998,8,2011,4,1,1,1
286,139,1,0,1,1,6.06,50,22.0028,9,2011,4,1,1,1
287,38,1,0,1,2,6.82,50,23.9994,10,2011,4,1,0,1
288,37,1,0,1,2,8.335,44,30.0026,11,2011,4,1,0,1
289,52,1,0,1,1,8.335,44,27.9993,12,2011,4,1,0,1
290,83,1,0,1,1,9.85,41,30.0026,13,2011,4,1,0,1
291,42,1,0,1,1,9.85,41,26.0027,14,2011,4,1,0,1
292,60,1,0,1,1,10.605,38,19.9995,15,2011,4,1,1,1
293,78,1,0,1,1,10.605,38,23.9994,16,2011,4,1,1,1
294,162,1,0,1,1,9.09,40,19.0012,17,2011,4,1,1,1
295,144,1,0,1,1,9.09,40,22.0028,18,2011,4,1,1,0
296,99,1,0,1,1,7.575,47,16.9979,19,2011,4,1,0,0
297,64,1,0,1,1,7.575,47,15.0013,20,2011,4,1,0,0
298,40,1,0,1,1,6.06,46,19.9995,21,2011,4,1,0,0
299,30,1,0,1,1,6.06,46,22.0028,22,2011,4,1,0,0
300,15,1,0,1,1,6.82,50,12.998,23,2011,4,1,0,0
301,14,1,0,1,1,6.82,50,12.998,0,2011,5,1,0,0
302,5,1,0,1,1,6.06,54,11.0014,1,2011,5,1,0,0
303,1,1,0,1,1,6.06,54,8.9981,2,2011,5,1,0,0
304,1,1,0,1,1,6.82,54,7.0015,3,2011,5,1,0,0
305,8,1,0,1,1,6.82,54,6.0032,5,2011,5,1,0,0
306,17,1,0,1,1,9.09,54,0.0,6,2011,5,1,1,0
307,70,1,0,1,1,6.06,74,11.0014,7,2011,5,1,1,1
308,158,1,0,1,1,8.335,68,0.0,8,2011,5,1,1,1
309,117,1,0,1,1,7.575,69,8.9981,9,2011,5,1,1,1
310,44,1,0,1,1,9.09,55,12.998,10,2011,5,1,0,1
311,53,1,0,1,1,8.335,51,19.0012,11,2011,5,1,0,1
312,61,1,0,1,1,9.85,44,16.9979,12,2011,5,1,0,1
313,77,1,0,1,1,9.85,37,26.0027,13,2011,5,1,0,1
314,64,1,0,1,1,10.605,41,19.0012,14,2011,5,1,0,1
315,68,1,0,1,1,12.12,38,11.0014,15,2011,5,1,1,1
316,90,1,0,1,1,12.12,41,7.0015,16,2011,5,1,1,1
317,159,1,0,1,1,11.365,41,11.0014,17,2011,5,1,1,1
318,139,1,0,1,1,12.88,47,0.0,18,2011,5,1,1,0
319,92,1,0,1,1,9.85,59,6.0032,19,2011,5,1,0,0
320,68,1,0,1,1,12.12,59,0.0,20,2011,5,1,0,0
321,52,1,0,1,1,11.365,69,0.0,21,2011,5,1,0,0
322,36,1,0,1,2,11.365,69,0.0,22,2011,5,1,0,0
323,27,1,0,1,2,12.12,55,0.0,23,2011,5,1,0,0
324,28,1,0,0,1,12.12,55,0.0,0,2011,6,1,0,0
325,20,1,0,0,2,9.85,59,6.0032,1,2011,6,1,0,0
326,12,1,0,0,2,9.85,59,6.0032,2,2011,6,1,0,0
327,8,1,0,0,2,11.365,59,0.0,3,2011,6,1,0,0
328,5,1,0,0,2,11.365,59,0.0,4,2011,6,1,0,0
329,1,1,0,0,1,11.365,59,0.0,5,2011,6,1,0,0
330,3,1,0,0,1,8.335,63,7.0015,6,2011,6,1,1,0
331,10,1,0,0,1,10.605,63,0.0,7,2011,6,1,1,1
332,23,1,0,0,1,7.575,63,8.9981,8,2011,6,1,1,1
333,33,1,0,0,1,9.09,64,8.9981,9,2011,6,1,1,1
334,59,1,0,0,1,9.85,59,11.0014,10,2011,6,1,0,1
335,72,1,0,0,1,9.85,55,15.0013,11,2011,6,1,0,1
336,89,1,0,0,1,11.365,48,15.0013,12,2011,6,1,0,1
337,101,1,0,0,1,12.88,38,19.9995,13,2011,6,1,0,1
338,118,1,0,0,1,14.395,39,19.0012,14,2011,6,1,0,1
339,129,1,0,0,2,15.91,36,12.998,15,2011,6,1,1,1
340,128,1,0,0,2,16.665,34,12.998,16,2011,6,1,1,1
341,83,1,0,0,2,15.15,36,19.0012,17,2011,6,1,1,1
342,84,1,0,0,2,14.395,45,16.9979,18,2011,6,1,1,0
343,74,1,0,0,2,15.15,39,16.9979,19,2011,6,1,0,0
344,41,1,0,0,2,15.15,39,16.9979,20,2011,6,1,0,0
345,57,1,0,0,2,15.15,39,15.0013,21,2011,6,1,0,0
346,26,1,0,0,2,15.91,42,7.0015,22,2011,6,1,0,0
347,44,1,0,0,1,14.395,45,19.0012,23,2011,6,1,0,0
348,39,1,0,0,1,15.15,56,0.0,0,2011,7,1,0,0
349,23,1,0,0,1,13.635,56,8.9981,1,2011,7,1,0,0
350,16,1,0,0,1,14.395,56,6.0032,2,2011,7,1,0,0
351,15,1,0,0,1,13.635,69,0.0,3,2011,7,1,0,0
352,1,1,0,0,1,12.88,56,11.0014,4,2011,7,1,0,0
353,2,1,0,0,2,12.88,56,11.0014,5,2011,7,1,0,0
354,1,1,0,0,2,12.88,56,11.0014,6,2011,7,1,1,0
355,3,1,0,0,2,10.605,56,19.9995,7,2011,7,1,1,1
356,18,1,0,0,1,10.605,55,19.0012,8,2011,7,1,1,1
357,32,1,0,0,1,10.605,51,16.9979,9,2011,7,1,1,1
358,79,1,0,0,1,10.605,51,19.0012,10,2011,7,1,0,1
359,93,1,0,0,1,11.365,44,16.9979,11,2011,7,1,0,1
360,104,1,0,0,1,10.605,41,19.0012,12,2011,7,1,0,1
361,118,1,0,0,1,11.365,35,19.9995,13,2011,7,1,0,1
362,91,1,0,0,1,13.635,36,16.9979,14,2011,7,1,0,1
363,113,1,0,0,1,12.12,38,16.9979,15,2011,7,1,1,1
364,99,1,0,0,1,11.365,38,15.0013,16,2011,7,1,1,1
365,105,1,0,0,1,10.605,37,16.9979,17,2011,7,1,1,1
366,67,1,0,0,1,10.605,40,11.0014,18,2011,7,1,1,0
367,61,1,0,0,1,9.85,47,8.9981,19,2011,7,1,0,0
368,57,1,0,0,1,9.85,47,11.0014,20,2011,7,1,0,0
369,28,1,0,0,1,9.85,51,11.0014,21,2011,7,1,0,0
370,21,1,0,0,2,10.605,49,8.9981,22,2011,7,1,0,0
371,18,1,0,0,2,11.365,40,7.0015,23,2011,7,1,0,0
372,17,1,1,0,2,9.85,47,15.0013,0,2011,1,1,0,0
373,16,1,1,0,2,9.85,44,12.998,1,2011,1,1,0,0
374,8,1,1,0,2,8.335,43,16.9979,2,2011,1,1,0,0
375,2,1,1,0,2,9.09,43,12.998,3,2011,1,1,0,0
376,3,1,1,0,2,9.85,43,8.9981,4,2011,1,1,0,0
377,1,1,1,0,2,9.85,43,11.0014,5,2011,1,1,0,0
378,5,1,1,0,2,9.09,43,12.998,6,2011,1,1,1,0
379,13,1,1,0,2,9.09,50,8.9981,7,2011,1,1,1,1
380,33,1,1,0,2,7.575,47,15.0013,8,2011,1,1,1,1
381,47,1,1,0,2,7.575,47,15.0013,9,2011,1,1,1,1
382,57,1,1,0,2,7.575,50,16.9979,10,2011,1,1,0,1
383,64,1,1,0,2,7.575,55,12.998,11,2011,1,1,0,1
384,80,1,1,0,2,9.85,47,8.9981,12,2011,1,1,0,1
385,93,1,1,0,2,9.85,47,8.9981,13,2011,1,1,0,1
386,86,1,1,0,2,10.605,43,7.0015,14,2011,1,1,0,1
387,93,1,1,0,2,10.605,47,11.0014,15,2011,1,1,1,1
